title,company,location,requirements,description,views_count,reviews_count
Full-stack Developer (Python + Vue),A-LISTWARE,Україна,"['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']",Our Customer: Our customer is transforming the landscape of payment plans for businesses through state-of-the-art technology. The platform enables businesses to make Детальніше,3,14
Senior Python Developer,Meduzzen,Україна,"['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","We are looking for a Senior Python Developer for a stable long-term project. Tech stack: Python, FastApi, Websockets, MySQL. The project is about collecting and processing Детальніше",15,80
Senior Python Engineer (only in Poland),Adaptiq,Польща,"['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Advanced/Fluent']","We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and Детальніше",0,10
Middle Python Developer,Cloudy Construction,Велика Британія,"['· Product', '· Тільки віддалено', '· 2 роки досвіду', '· Pre-Intermediate']",We are looking for a talented Middle Developer with ETL and database skills. Your job is to write and maintain models and regular expressions to process the huge number of Детальніше,12,191
Computer Vision Algorithms Developer,MoveUp Recruitment agency,Україна,"['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","The company is an innovative SaaS enterprise, backed by prominent venture capital, specializing in addressing the heightened demand for improved inventory visibility within the Детальніше",3,100
Computer Vision Algorithms Developer for Visual Intelligence Company,MoveUp Recruitment agency,"Україна, Польща","['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","Full-time, remote, long-term cooperation. Preferred Locations: Central and Eastern European countries, especially Poland. Team Dynamics: Currently at 6 members, with plans for Детальніше",2,48
Computer Vision Algorithms Developer,MoveUp Recruitment agency,Україна,"['· Product', '· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","Visual Intelligence, a forward-thinking SaaS company, is in search of a Computer Vision Algorithms Developer to join our A-team. In this role, you will be tasked with the Детальніше",0,33
Python (Django) Developer,Join.To.IT,Україна (Київ),"['· Гібридна робота', '· 3 роки досвіду', '· Intermediate']","Ми – українська аутсорсингова компанія Join.To.IT, більше 10 років створюємо програмні рішення в різних сферах бізнесу. Наша команда складається з досвідчених професіоналів, які Детальніше",9,69
python developer with a focus on WebRTC,ROL KC (MK GROUP),Україна (Київ),"['· Product', '· Office або Remote', '· 2 роки досвіду']","Location: Remote Type: Full-time Job Description: As a mid-level Python developer, you will be responsible for developing and maintaining our internal and external Детальніше",24,128
Python Developer,Valor Software,Чехія,"['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']",Valor Software is a software development and consulting company that specializes in advancing and bringing together open-source technologies to achieve technological and business Детальніше,46,133
FullStack (Python/React.js) Tech Lead,Raccoon Gang,Україна,"['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","As a Tech Lead, you will play a pivotal role in guiding our development team to new heights in the field of Learning Management System (LMS) development. If you are enthusiastic Детальніше",1,24
Python Tech Lead (Automation team),Ajax Systems,Україна (Київ),"['· Product', '· Тільки офіс', '· 5 років досвіду', '· Pre-Intermediate']","Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це понад 70 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Детальніше",3,29
Python Developer with Murex Experience,Gransoft solutions,"Німеччина, Грузія, Казахстан, Польща, Україна","['· Тільки віддалено', '· 2 роки досвіду', '· Upper-Intermediate']",A renowned international company specializing in innovative financial services is seeking a Python developer with extensive expertise in the MUREX platform. Qualification Детальніше,45,210
Backend Developer (Python),Sonerim,"Естонія, Україна","['· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']",We are looking for a Backend Developer (Python). Project description: The next-generation household energy platform. Time-zone: Able to work at least 60-70% of Детальніше,143,360
Python (Django) Engineer,Softwarium,Україна,"['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","We are Softwarium, a Ukrainian outsourcing IT company. We have been developing software for American, Canadian, and Norwegian clients in the education, healthcare, energy, and Детальніше",14,93
Data Engineer (Python),FF Group,"Чехія, Україна","['· Product', '· Office або Remote', '· 3 роки досвіду', '· Intermediate']",Required work experience: 3–6 years Type of employment: full-time Who we are FF Group is an innovative data solution provider with 10 years of experience Детальніше,44,177
Full Stack Developer (Python),Murano Software,"Іспанія, Україна, Узбекистан","['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']",We are looking for a skilled Full Stack Developer with a robust background in Python and experience with Django and Zappa for backend development. While proficiency in Flutter for Детальніше,9,226
Senior Python-focused engineer with BE knowledge,Global17 East,Україна (Київ),"['· Product', '· Office або Remote', '· 5 років досвіду', '· Advanced/Fluent']",We are seeking a seasoned python-focused engineer who possesses a passion for crafting cutting-edge solutions. This role involves contributing to the development of our Детальніше,0,53
Middle/Senior BE engineer with Python knowledge,Global17 East,Україна (Київ),"['· Product', '· Office або Remote', '· 3 роки досвіду', '· Advanced/Fluent']","We are seeking a seasoned Backend Engineer who possesses a passion for crafting cutting-edge solutions. This role involves contributing to the development of our innovative, Детальніше",4,53
Python Developer/Data Engineer,Ajax Systems,Україна (Київ),"['· Product', '· Тільки офіс', '· 3 роки досвіду']","Ajax Systems — розробник і виробник систем безпеки Ajax із можливостями розумного дому. Це понад 70 пристроїв, мобільні та десктопні застосунки, серверна інфраструктура. У лінійці Детальніше",5,82
Python Developer/AI Specialist (part - time),Softermii,Україна,"['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","📲Project: Is a leading startup and a provider of an AI-driven system that provides the tools and capabilities to create your own character, communicate with it, and build Детальніше",27,169
Senior Python Developer for AI Project (Location - Germany only) qp,Confitech Dienstleistungs GmbH,"Релокейт, Німеччина","['· Product', '· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']",✅ This position is for direct hiring. You will become an official client's employee. 📍 This position requires working within 🇩🇪 Germany About the company & Детальніше,15,89
Python developer with DevOps experience,Jito.dev,Україна,"['· Тільки віддалено', '· 2 роки досвіду', '· Upper-Intermediate']",We're looking for a motivated Python developer to join our miracle team. REQUIREMENTS: - At least 2 years of experience in Python; - Experience implementing DevOps Детальніше,26,141
Senior Python Engineer,HebronSoft,Україна (Львів),"['· Тільки віддалено', '· 5 років досвіду', '· Intermediate']","Description: We are seeking an experienced Senior Python Engineer to join our team in the field of e-commerce and finance. Our client, a leading company in this space, is Детальніше",5,69
Junior Backend Developer (Python + Django),Devsteam.cloud,Україна,"['· Product', '· Тільки віддалено', '· 1 рік досвіду']",We are an innovative and dynamic company leader in its field. We firmly believe that our employees are our greatest asset and invest significant resources in their growth and Детальніше,162,768
Senior Python/Django Engineer,at Apexive,"Чехія, Нідерланди, Польща, Україна","['· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']","Apexive is a premier software studio that creates top-notch technology for startups. We have a remote-first culture, and this position can be based anywhere. We encourage Детальніше",30,156
Senior Python Developer,Luxoft,Україна,"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']",Project Description: One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information Детальніше,2,21
Senior Python Developer,Luxoft,"Україна (Дніпро, Київ, Одеса)","['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",Project Description: One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information Детальніше,5,41
Python Developer,Luxoft,Україна,"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information system in Oil & Gas Детальніше,15,95
Senior Python Developer,Luxoft,Україна,"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",Project Description: One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information Детальніше,1,21
Senior Python Developer,Luxoft,Україна,"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",Project Description: One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information Детальніше,2,32
Python Developer,Luxoft,Україна,"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']",Project Description: One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information Детальніше,5,47
Middle Python Developer,Leadsdoit,"Кіпр, Німеччина, Іспанія, Польща, Португалія","['· Тільки віддалено', '· 2 роки досвіду', '· Intermediate']",Leadsdoit - успішна performance marketing компанія з українським корінням. Ми займаємося affiliate-monetized проєктами для закордонних та внутрішніх ринків. Створюємо власні Детальніше,5,30
"Senior Python Developer(AI, ML experience)",Trinetix,"Болгарія, Кіпр, Польща, Словаччина, Туреччина","['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']","Job Description: We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Детальніше",6,35
Middle Python Developer,Trinetix,"Кіпр, Польща, Словаччина, Туреччина, Болгарія","['· Office або Remote', '· 2 роки досвіду', '· Upper-Intermediate']","We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. The Детальніше",14,44
Middle Python Developer with Experience in ML/NLP frameworks,SFox GmbH,"Чехія, Польща, Португалія, Словаччина, Україна","['· Product', '· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']","Looking for middle Python Developer with Experience in ML/NLP frameworks On behalf of our client in Sweden, we’re looking for skilled remote Fullstack developer. You will Детальніше",21,110
Senior Python Developer,Trinetix,"Релокейт, Болгарія, Угорщина, Польща, Словаччина","['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']","We are seeking a talented and experienced Python Developer to join our team, focused on working with ChatGPT, AWS GlueJobs, and AWS SageMaker or Azure Cloud Platform tools. Детальніше",15,91
