title,company,location,requirements,description,views_count,reviews_count
Scraping Engineer,GroupBWT,Україна,"['· Тільки віддалено', '· 2 роки досвіду', '· Upper-Intermediate']","Job Description: As a Scraping Engineer at GroupBWT, you will play a crucial role in collecting, processing, and analyzing data from various online sources. If you have a Детальніше",49,208
Senior Python Developer,EVA,Україна,"['· Product', '· Office або Remote', '· 3 роки досвіду']","Вітаю! Я Катерина, рекрутер Лінії магазинів EVA. Дуже рада продовжувати розвиток продуктової команди e-commerce EVA.UA. Ми починаємо пошук Senior Python Developer для нашого Детальніше",13,61
Senior Python Developer with AWS,Luxoft,Україна,"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","Project Description: Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote Детальніше",5,31
Team Lead Python/Django,Dataforest,Україна (Київ),"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']","We are seeking a highly skilled and experienced Team Lead Python/Django to join our dynamic team. As a Team Lead, you will be an expert and a leader, playing a crucial role in Детальніше",16,70
Python Developer (Scraping),Dataforest,Україна,"['· Office або Remote', '· 1 рік досвіду', '· Intermediate']","Looking for a Python Developer (Scraping) to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you Детальніше",50,318
Senior Python Developer with AWS,Luxoft,"Україна (Вінниця, Дніпро, Житомир + ще 9 міст)","['· Тільки віддалено', '· 5 років досвіду', '· Upper-Intermediate']","Project Description: Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote Детальніше",5,37
Team Lead / Senior Python Engineer (Indigo Ag),Intelliarts,Україна (Львів),"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']",We are looking for a Team Lead/Senior Software Engineer to join an Indigo Ag Engineering Organization. Indigo is determined to build a development center in Ukraine. Indigo Ag is Детальніше,12,43
Python Developer for EdTech company,Projector,Україна,"['· Product', '· Тільки віддалено', '· 3 роки досвіду', '· Intermediate']","Шукаємо КУРАТОРА/КУРАТОРКУ на курс Python Beginning у Projector Institute. Ми метчимо, якщо: — в тебе комерційний досвід - 3-4 роки; — маєш ступінь бакалавра комп’ютерних Детальніше",4,56
Штучний інтелект і Python (блок ШІ),IT STEP Academy,Україна,"['· Тільки віддалено', '· Без досвіду']",Міжнародна Академія IT STEP шукає викладача для ведення курсів з штучного інтелекту та програмування на мові Python в рамках блоку ШІ. Якщо ви є досвідченим фахівцем в галузі ШІ і Детальніше,20,381
Python Developer,Yael Acceptic,"Україна (Київ, Харків)","['· Office або Remote', '· 3 роки досвіду', '· Intermediate']","Join our team as an experienced Python Developer, where you will take a role in building and optimizing our AWS cloud infrastructure. This position requires hands-on experience Детальніше",43,166
Senior Python developer (Location - Germany),Confitech Dienstleistungs GmbH,Німеччина,"['· Product', '· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","Please note This position requires the ability to work in the German office (Saarbrücken) or remotely from any German region. It is required, that the candidate either Детальніше",2,42
Senior Python Developer,Luxoft,Україна,"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote troubleshooting Детальніше",3,25
Senior Python Developer with AWS,Luxoft,Україна,"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","Project Description: Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote Детальніше",2,32
Senior Python Developer with AWS,Luxoft,"Україна (Дніпро, Київ, Одеса)","['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']","Project Description:Development of monitoring and diagnostics system. It fulfils both local and remote data access and analytics requirement, as well as local and remote Детальніше",1,14
Python + Django,JetUp,Україна (Хмельницький),"['· Office або Remote', '· 1 рік досвіду', '· Pre-Intermediate']","JetUp Digital шукає розробника Python + Django, проєктна робота. Загалом є проєкт (але Python + Django) не наш стек тому вирішили спробувати з кимось попрацювати в цьому Детальніше",191,618
Python (Odoo) Developer,ToDo LTD,Україна (Київ),"['· Product', '· Office або Remote', '· 1 рік досвіду']","Вітаємо! Ми команда ToDo. Входимо до складу великої української ІТ team, що з 2003 року спеціалізується на автоматизації бізнес-процесів. Разом ми впроваджуємо IT-рішення від Детальніше",37,170
Senior Python Software Engineer with Data Science experience (in Europe),Binariks,Україна (Львів),"['· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']",Binariks is looking for a highly motivated and skilled Senior Python Software Engineer with Data Science experience. Location: Europe About the project: A Детальніше,1,19
Junior Python Developer (full stack),Synergy Way,Україна (Львів),"['· Тільки офіс', '· 1 рік досвіду', '· Intermediate']",We are currently seeking a motivated and skilled Junior Python Developer with a passion for full-stack development. Required skills: - Minimum of one year of hands-on Детальніше,98,507
Python developer,Project Ukraine,Україна,"['· Product', '· Тільки віддалено', '· 2 роки досвіду']","Наша компанія – це команда ентузіастів, що створюють передумови в IT галузі України для переходу із аутсорсу до роботи над власними продуктами. Разом із західними партнерами ми Детальніше",69,205
Software Engineer with VoIP experience,Respeecher,Україна (Київ),"['· Product', '· Office або Remote', '· 5 років досвіду', '· Upper-Intermediate']",We are looking for a Senior Software Engineer who will help us to build infrastructure for deploying real-time machine learning models. Benefits - Make cutting edge Детальніше,4,64
Python Engineer (OCR and Document Processing),PLANEKS,Україна,"['· Тільки віддалено', '· 2 роки досвіду', '· Upper-Intermediate']",Let’s start with what PLANEKS offers: 0. Fast and comfortable hiring process. 1. 100% remote work opportunity and flexitime - choose working hours between 8:00-20:00. 2. Детальніше,20,170
Middle Python Developer,COMPARUS UA,Україна (Дніпро),"['· Product', '· Тільки офіс', '· 2 роки досвіду', '· Intermediate']","Наша співпраця передбачає роботу тільки в офісі в місті Дніпро! Ми — продуктова команда, що створює додаток, здатний вилучати та структурувати дані зі сканованих чи Детальніше",4,138
Large Language Model (LLM) Engineer,BVG,"Болгарія, Іспанія, Україна","['· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']","We are seeking a dedicated Large Language Model (LLM) Engineer to join our AI team. The ideal candidate will be responsible for developing, fine-tuning, and deploying language Детальніше",3,28
Middle to Senior Python Engineer,BVG,"Болгарія, Іспанія, Україна","['· Тільки віддалено', '· 3 роки досвіду', '· Upper-Intermediate']","As a Middle to Senior Python Engineer, you will be instrumental in developing complex applications, collaborating with cross-functional teams, and pushing the boundaries of what's Детальніше",11,46
Python Developer,OCTY,Естонія,"['· Тільки віддалено', '· 1 рік досвіду', '· Upper-Intermediate']","About us: Our company works with startups - develop, launch and improve them with modern technologies. Our entire friendly team of talented software engineers work remotely, Детальніше",119,404
Middle Python Developer,Dataforest,"Польща, Україна (Київ)","['· Office або Remote', '· 2 роки досвіду', '· Intermediate']","Looking for a Middle Python Developer to join the Dataforest team. If you are looking for a friendly team, a healthy working environment, and a flexible schedule ‒ you have found Детальніше",27,180
Tech Lead Data Engineer (Python),FF Group,"Чехія, Україна (Київ)","['· Product', '· Office або Remote', '· 3 роки досвіду', '· Intermediate']",Required work experience: 3–6 years Type of employment: full-time Who we are FF Group is an innovative data solution provider with 10 years of experience creating Детальніше,16,69
Junior Python Developer,CheckLab,"Велика Британія, Сполучені Штати","['· Product', '· Тільки віддалено', '· 2 роки досвіду', '· Pre-Intermediate']",You should be able to pick some code and understand how to integrate it in Django to build AI-Marketing Product. Our goal - create Auto-Marketer PPC Tool. Your experience Детальніше,121,469
Python developer with Cloud and DevOps experience,Luxoft,"Україна (Дніпро, Київ, Одеса)","['· Office або Remote', '· 2 роки досвіду', '· Upper-Intermediate']",Project Description: One of the world's largest providers of products and services to the energy industry has a need to develop and support cloud-based enterprise information Детальніше,12,65
Senior - Regular Python Developer ( EST working hours),Luxoft,Україна,"['· Office або Remote', '· 3 роки досвіду', '· Upper-Intermediate']","Project Description: Applying to the position, you may join one of the most respected and fastest growing institutional investors in the world. Our client is a professional Детальніше",14,89
Pyton Developer 4+ years exp,Addstrategix,Україна,"['· Тільки віддалено', '· 5 років досвіду']","Responsibilities: ● Design and develop REST APIs to support the front-end applications and the core product. ● Collaborate with the business unit to identify, design, and Детальніше",7,43
